,Latitude,Longitude,Speed,Temperature,Position time,Velocity
1,43.07902,5.98482,0.0,20.8,11:00:00,0.06578554168494125
2,43.0792,5.98513,0.0,20.8,11:10:00,0.05362328523705475
3,43.07929,5.98532,0.0,20.8,11:20:00,0.03066355202225347
4,43.07936,5.98558,0.0,20.8,11:30:00,0.037520906139390256
5,43.07946,5.98576,0.0,20.8,11:40:00,0.030622034511307582
6,43.07961,5.986,0.0,20.8,11:50:00,0.04277057329912845
7,43.07979,5.98627,0.0,20.8,12:00:00,0.049498128014094464
8,43.08001,5.98659,0.0,20.9,12:10:00,0.05950451490602292
9,43.08023,5.98694,0.0,20.9,12:20:00,0.06252431707584538
10,43.08041,5.9873,0.0,20.9,12:30:00,0.059072642929038
11,43.08057,5.98764,0.0,20.9,12:40:00,0.054764899276505075
12,43.08076,5.98799,0.0,20.9,12:50:00,0.059046910848066805
13,43.08097,5.98832,0.0,20.9,13:00:00,0.059263139137702626
14,43.0812,5.9887,0.0,21.1,13:10:00,0.06682346640804634
15,43.08151,5.98915,0.0,21.1,13:20:00,0.0837566271713491
16,43.08185,5.98957,0.0,21.1,13:30:00,0.08489281693955378
